housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
7012,4456,2556,1591,384600,2188
6239,4101,2138,1437,361200,2189
7535,5121,2414,1591,416200,2190
3606,2946,660,1618,378500,2191
914,45,869,3124,-,2199
24,11,13,-,-,2203
2711,758,1953,3197,879100,2210
8055,766,7289,2048,487600,2215
20675,10144,10531,1218,286700,2301
10784,7478,3306,1124,270700,2302
1634,1229,405,1328,364200,2322
8367,6144,2223,1658,380700,2324
4609,4167,442,1481,308300,2330
5800,5202,598,1733,657400,2332
4899,3943,956,1276,372600,2333
2901,2700,201,1031,345900,2338
4663,4111,552,1162,550000,2339
3872,3522,350,1750,385700,2341
4352,3421,931,944,335700,2343
9922,7764,2158,1325,329500,2346
4091,3443,648,1509,395000,2347
6081,4512,1569,1364,385000,2351
4514,3347,1167,1495,462200,2356
20,9,11,-,-,2357
6643,5677,966,1641,412800,2359
24412,19699,4713,1487,376800,2360
5234,4286,948,882,410800,2364
0,0,0,-,-,2366
993,896,97,868,392600,2367
11727,8079,3648,1626,351700,2368
6806,5060,1746,1256,324700,2370
4404,3462,942,1607,376200,2375
2503,2170,333,1637,369700,2379
5596,3955,1641,1378,343200,2382
5095,4544,551,2175,934400,2420
6861,5229,1632,2580,933300,2421
8675,4830,3845,2350,1033100,2445
13277,5268,8009,2240,932800,2446
7278,4479,2799,1925,585600,2451
4965,2743,2222,1846,604700,2452
11502,4723,6779,1682,544800,2453
19,19,0,-,-,2457
4836,3048,1788,1774,870900,2458
6173,5196,977,1979,1101300,2459
3717,2223,1494,1865,886700,2460
2536,2000,536,2446,911400,2461
527,324,203,1456,947400,2462
1352,974,378,2107,701500,2464
4400,3167,1233,1830,882200,2465
3014,1649,1365,1895,893900,2466
6594,4380,2214,2321,1016300,2467
1886,1814,72,-,1309000,2468
16288,8256,8032,1889,599100,2472
11560,6355,5205,1799,673500,2474
7558,4708,2850,1663,709100,2476
9846,6328,3518,2059,902500,2478
4495,3892,603,2124,1327100,2481
3812,2986,826,2217,1081300,2482
7132,6395,737,1404,923100,2492
3730,3203,527,1725,1270000,2493
3633,2697,936,1696,851500,2494
5950,4624,1326,1304,369200,2532
369,336,33,-,578900,2534
792,667,125,1444,1375000,2535
8446,7071,1375,1541,366700,2536
2518,2342,176,1673,449100,2537
1564,988,576,1221,276700,2538
1449,1069,380,1785,830000,2539
4081,2733,1348,1014,620300,2540
306,16,290,1910,-,2542
378,308,70,1307,798700,2543
96,96,0,-,-,2553
3658,2512,1146,1781,1109600,2554
1078,956,122,1194,549900,2556
1873,1331,542,1724,673800,2557
968,650,318,1360,307200,2558
1596,1169,427,1279,395300,2559
105,78,27,-,378600,2561
1151,934,217,1439,401200,2562
4099,3566,533,1542,388100,2563
51,51,0,-,"2,000,000+",2564
1932,1195,737,1414,733400,2568
4804,3454,1350,1089,346100,2571
819,712,107,1533,806600,2575
1828,1621,207,1304,226600,2576
0,0,0,-,-,2584
6253,3248,3005,1310,298000,2601
750,664,86,1684,604800,2630
4360,3678,682,1008,450600,2631
4781,3689,1092,1823,382800,2632
2053,1751,302,1179,636400,2633
1371,1217,154,-,454900,2635
75,75,0,-,584400,2637
1499,1219,280,1385,484900,2638
1581,915,666,1460,326900,2639
117,117,0,-,-,2641
2447,2227,220,1326,502100,2642
0,0,0,-,-,2643
1525,1373,152,1349,371500,2644
4197,3550,647,1302,447900,2645
864,782,82,1335,525500,2646
68,50,18,-,1875000,2647
2906,2593,313,1832,397600,2648
6552,5542,1010,1374,371800,2649
391,333,58,1892,891400,2650
7,7,0,-,-,2651
466,364,102,-,662700,2652
2822,2277,545,1045,638800,2653
1460,1271,189,1272,485200,2655
1725,1298,427,1170,691500,2657
510,455,55,1101,618100,2659
2898,2136,762,1243,368600,2660
54,43,11,-,497700,2663
3989,2848,1141,1526,364400,2664
227,227,0,-,344700,2666
1470,1137,333,1284,544000,2667
1098,963,135,1327,475900,2668
53,53,0,-,-,2669
710,533,177,1304,483100,2670
475,434,41,-,529400,2671
120,111,9,-,869500,2672
3775,3038,737,1608,303100,2673
2989,2736,253,1500,399500,2675
1673,1552,121,1556,381300,2702
17491,11901,5590,1125,313400,2703
22,16,6,-,500000,2713
1475,1302,173,1111,377700,2715
1699,1486,213,1670,364300,2717
2344,2056,288,849,320400,2718
6767,5023,1744,939,286800,2719
13199,5363,7836,902,259500,2720
10372,3951,6421,814,259400,2721
7124,2320,4804,808,237100,2723
7887,2496,5391,810,261700,2724
