total_pop,eighteen_plus,sixty_five_plus,nonhisp_white_perc,hisp_perc,nonhisp_black_perc,two_plus_races_perc,nonhisp_asian_perc,zip
9263,7206,1346,93.5,2.4,1.2,1.8,0.8,1504
4623,3605,799,92.6,4.1,0.2,0.9,2.6,1505
3441,2725,665,95.9,0.0,0.3,1.5,1.4,1506
13550,10570,2005,90.5,6.1,0.9,3.0,0.6,1507
13935,11071,1813,77.8,17.3,1.1,1.3,1.8,1510
2040,1597,320,95.6,2.8,1.1,0.0,0.0,1515
8859,6764,1069,91.1,5.7,0.3,1.2,1.8,1516
3947,2833,606,93.4,2.6,0.0,0.2,3.8,1518
7042,5449,952,80.3,4.7,3.7,3.5,6.4,1519
15781,12072,2602,91.8,3.5,0.8,1.9,2.1,1520
2630,2044,464,95.9,2.5,0.8,1.0,0.0,1521
3270,2499,713,90.2,8.3,0.0,0.5,1.6,1522
7794,6263,1235,81.9,7.6,7.1,2.7,0.9,1523
6654,5550,918,92.9,2.4,2.4,1.5,0.7,1524
544,406,42,86.4,13.6,0.0,0.0,0.0,1525
13732,10974,2435,91.1,1.2,1.4,2.5,2.4,1527
3256,2464,396,96.3,0.9,0.5,2.0,0.0,1529
1211,955,174,98.2,0.6,0.0,0.9,0.3,1531
15056,11493,2375,82.7,2.7,3.2,2.0,9.2,1532
6296,5013,1116,91.5,5.9,1.0,0.9,0.6,1534
4774,3856,767,96.4,1.6,1.0,0.7,0.6,1535
7576,5699,957,80.7,8.8,3.3,3.0,4.1,1536
2201,1797,338,85.5,6.0,3.5,3.5,2.0,1537
11581,8987,1548,88.2,5.6,1.2,3.5,2.7,1540
3455,2766,775,95.0,1.5,0.3,3.0,0.2,1541
2567,1952,418,92.6,2.5,4.5,0.2,0.0,1542
8685,6354,992,92.1,3.3,0.0,1.5,4.1,1543
37086,28407,6232,70.2,4.6,2.7,3.5,19.2,1545
16887,13087,2530,62.9,32.9,1.9,4.1,0.4,1550
4396,3312,553,70.4,5.6,2.9,5.3,17.1,1560
209,209,121,59.3,0.0,0.0,0.0,40.7,1561
11928,10017,2176,90.0,3.3,1.0,2.3,3.5,1562
8091,6214,1527,92.4,5.1,1.1,1.1,0.4,1564
5592,4306,1094,91.4,3.3,1.3,0.4,2.6,1566
7894,5933,1126,80.2,3.6,7.6,6.5,2.9,1568
14025,10993,1994,94.9,1.7,1.8,0.9,0.5,1569
16973,13530,3048,80.0,12.1,4.6,2.6,1.3,1570
11723,9302,1690,88.4,3.6,1.9,2.4,3.3,1571
19037,14149,2599,65.0,6.2,1.8,1.4,24.9,1581
7693,6590,1415,79.4,12.4,5.2,2.0,1.5,1583
4569,3707,1005,95.3,2.8,0.2,0.9,0.0,1585
9750,7373,1680,84.5,6.3,2.6,5.9,1.5,1588
9404,7189,1441,92.6,1.3,2.1,1.5,2.1,1590
22900,19205,4059,75.5,8.9,6.7,3.1,5.6,1602
19731,15889,2679,51.6,22.5,10.3,3.3,13.0,1603
38191,29817,4542,51.2,22.7,13.4,3.8,9.1,1604
28533,22037,3863,43.0,30.3,17.5,5.2,5.4,1605
19896,15873,3137,69.2,10.1,10.5,4.8,5.9,1606
8167,6521,1064,56.8,16.5,21.5,2.1,3.6,1607
4471,3294,357,23.6,43.5,21.3,3.1,6.9,1608
21628,19076,3673,65.8,17.9,8.2,2.9,5.3,1609
22023,18948,1943,43.0,34.4,10.7,5.3,8.6,1610
2277,1911,295,84.4,8.9,2.9,3.8,0.3,1611
4900,3993,799,85.3,4.0,8.2,0.8,1.6,1612
32590,26612,6535,76.8,6.3,4.8,1.7,8.0,1701
39799,31561,4799,51.7,24.1,7.4,3.3,7.6,1702
790,569,38,52.5,10.0,0.0,17.5,25.7,1718
5561,4325,652,73.4,5.1,0.7,3.1,18.0,1719
22791,17189,3591,66.5,3.3,1.4,2.4,26.0,1720
17710,13801,2827,77.9,7.0,2.1,1.9,11.3,1721
14070,10529,2442,74.3,3.9,3.9,3.2,14.9,1730
2059,1180,10,68.3,13.6,2.4,6.0,11.4,1731
5299,3790,689,92.5,1.4,0.2,2.3,4.2,1740
5224,4057,1014,85.9,0.8,0.0,1.9,11.4,1741
19121,14516,3931,79.5,7.2,4.0,2.6,7.4,1742
595,397,39,86.2,4.9,0.0,0.0,6.9,1745
14724,10979,2116,87.4,3.9,0.9,2.3,5.5,1746
5947,4504,1018,96.1,1.0,0.3,2.2,0.5,1747
17598,12943,2486,81.6,3.2,1.8,1.8,11.4,1748
19887,16021,3547,89.2,5.8,1.2,0.8,2.7,1749
39736,31574,5655,69.2,15.1,3.8,4.1,5.5,1752
10754,8431,1630,91.9,3.4,1.3,1.7,1.7,1754
6115,4651,986,92.3,2.3,0.1,3.7,1.6,1756
28883,22201,4391,73.8,14.0,2.3,2.5,2.8,1757
35761,27229,5550,78.8,4.0,1.8,2.0,13.0,1760
4316,3128,725,87.6,2.2,0.6,3.6,6.2,1770
9526,7076,1453,78.8,3.9,0.6,1.1,14.9,1772
4884,3895,1385,86.8,6.3,0.4,2.3,4.3,1773
7133,5271,1165,88.4,2.9,0.0,2.2,3.5,1775
19122,13739,3014,82.5,2.5,1.7,3.2,10.1,1776
14088,10317,2535,79.8,5.0,0.7,3.1,11.3,1778
40359,32451,6587,77.3,4.6,5.5,2.6,8.8,1801
27650,21979,5318,71.5,3.1,4.5,3.8,16.8,1803
35816,27138,5290,75.8,4.9,2.6,2.1,14.7,1810
32797,26262,4894,83.4,3.6,3.3,2.1,7.9,1821
25754,20373,4700,85.5,2.9,0.7,1.5,9.6,1824
31294,24479,4808,83.4,6.6,3.9,2.0,4.0,1826
3366,2644,499,92.6,2.0,0.0,1.3,4.0,1827
26305,20551,3851,67.3,24.2,3.9,4.7,1.4,1830
23270,17761,2738,67.7,26.3,1.8,4.3,1.4,1832
8695,6741,1374,93.2,3.5,0.5,1.2,1.2,1833
6780,5405,1210,95.9,3.2,0.0,0.3,0.7,1834
13958,10525,1461,77.7,15.9,3.7,1.6,1.1,1835
5573,4189,758,10.4,86.7,1.9,5.1,0.0,1840
49367,36142,4839,11.1,85.6,1.9,2.8,0.9,1841
25002,18601,2711,23.2,69.5,3.0,3.2,3.6,1843
50282,39764,8020,60.9,29.5,3.2,3.9,4.1,1844
30842,23391,4899,81.1,7.6,3.1,2.3,6.1,1845
16151,12115,1655,48.1,27.1,15.5,2.3,7.3,1850
30686,23853,3165,37.0,12.3,5.7,2.2,41.8,1851
35532,27963,4368,58.8,17.9,6.6,2.7,12.8,1852
28937,23772,3028,49.3,19.3,4.9,2.8,24.3,1854
6890,5549,1318,95.6,2.4,0.2,0.7,1.0,1860
10623,8844,1728,76.7,7.4,9.0,1.7,4.6,1862
9372,7465,1918,84.3,4.4,1.3,2.9,7.8,1863
15581,12186,2250,89.3,2.0,1.2,2.2,4.6,1864
25077,19012,4395,91.2,3.0,0.4,1.2,4.4,1867
30878,24833,5551,90.1,2.2,2.1,1.6,3.6,1876
12443,10008,1467,83.7,4.5,0.9,2.5,8.3,1879
26720,21578,4981,91.2,3.4,1.6,1.3,2.3,1880
24342,17949,3160,76.1,1.5,0.8,1.7,19.8,1886
23377,18347,3845,87.0,1.0,4.1,1.7,6.2,1887
22738,16239,4017,79.5,2.1,0.3,2.7,14.6,1890
2135,1749,465,33.7,52.0,10.4,15.0,2.2,1901
49641,37264,5657,28.7,48.2,13.1,8.4,6.6,1902
17294,13456,2405,61.2,28.1,4.5,3.3,3.5,1904
24580,18184,2418,32.5,41.5,10.8,4.6,11.5,1905
28222,23373,5694,83.3,8.6,2.0,1.7,3.8,1906
15278,11944,2923,91.2,2.5,1.9,2.1,2.3,1907
3502,3026,854,95.4,1.5,0.0,0.9,2.2,1908
17434,13993,2926,93.8,2.5,0.6,1.9,1.1,1913
41885,34293,7023,88.5,5.1,1.6,2.7,2.1,1915
8282,6201,1330,93.5,2.4,0.0,3.5,2.0,1921
3910,2773,897,91.8,2.4,0.0,1.7,1.7,1922
27406,22151,5776,87.6,5.0,2.3,2.4,2.6,1923
3745,2822,689,99.0,0.3,0.0,0.7,0.0,1929
30162,25171,6947,91.9,2.4,1.4,2.3,1.9,1930
180,180,0,85.6,14.4,0.0,0.0,0.0,1937
13963,11091,3126,92.0,4.2,2.0,1.1,0.9,1938
13474,10172,2648,90.4,2.6,0.7,1.9,4.3,1940
5383,4168,1273,97.1,1.5,0.0,0.6,0.7,1944
20500,15754,4479,91.1,5.0,1.4,0.9,1.4,1945
9872,8003,1817,90.3,6.2,0.8,3.4,1.2,1949
18077,14353,3794,92.4,2.8,1.6,1.7,2.2,1950
3150,2516,697,92.5,3.7,0.6,0.7,1.5,1951
9379,7756,1917,92.7,3.6,0.7,1.1,1.1,1952
52628,43627,11826,82.6,9.9,3.3,2.8,1.1,1960
7231,6168,2437,96.5,0.7,0.1,1.1,0.1,1966
6372,4983,1080,95.4,0.8,1.2,1.6,1.1,1969
43033,36023,6917,71.9,17.9,4.6,3.8,2.5,1970
8031,5959,1131,91.0,1.5,0.3,1.1,6.0,1982
6568,4848,1510,94.8,1.7,0.1,0.8,2.6,1983
5240,4416,811,87.8,5.4,2.4,1.1,3.1,1984
4631,3669,979,96.2,2.6,0.0,0.2,1.0,1985
17108,13345,2400,91.4,4.0,1.7,1.4,1.4,2019
23369,18291,4372,80.9,4.1,5.2,1.6,7.1,2021
8484,6040,1440,95.4,1.4,0.6,1.0,1.0,2025
25265,20425,4872,78.8,8.7,6.8,2.5,2.7,2026
6044,4370,934,84.8,3.1,0.0,2.0,10.1,2030
