hs_incomp_25_plus,hs_grad_25_plus,bach_grad_25_plus,perc_bach_grad_and_above,zip
0,8,452,80.6,2841
405,2612,3185,45.6,2842
398,3237,4413,48.6,2852
145,1423,1557,40.0,2857
0,55,111,19.4,2858
413,1677,1058,26.2,2859
2948,10131,4547,22.4,2860
1563,6453,2609,21.0,2861
1440,4573,707,8.1,2863
1190,6308,6178,38.8,2864
542,2844,3501,44.7,2865
423,2469,3727,52.8,2871
46,59,47,30.0,2872
0,33,37,56.6,2873
124,593,1449,62.5,2874
0,41,51,38.1,2875
0,155,51,22.1,2876
734,3871,2409,32.6,2878
608,2713,4416,55.1,2879
41,186,519,67.9,2881
170,1552,2764,56.7,2882
513,2188,1990,36.3,2885
1093,5860,4838,34.8,2886
479,3729,2893,35.1,2888
1170,6393,4147,28.5,2889
643,4461,3439,36.1,2891
142,1163,883,43.7,2892
1579,6732,3683,23.9,2893
21,265,15,16.7,2894
3324,10163,3357,17.8,2895
528,2867,1797,31.5,2896
44,235,149,23.0,2898
559,1571,1549,48.1,2903
1746,7452,3740,26.8,2904
1027,4679,2312,26.6,2905
491,1621,5522,75.3,2906
1766,5942,1791,13.4,2907
1464,8105,3996,29.8,2908
2483,10376,2511,14.9,2909
820,4275,2697,28.5,2910
678,3703,2102,29.6,2911
0,0,4,93.8,2912
1565,4614,2189,21.1,2914
739,4005,2371,30.2,2915
463,1626,1881,42.7,2916
454,2712,1961,36.4,2917
1323,8043,3667,23.8,2919
2024,8538,4748,28.4,2920
425,2265,2310,47.3,2921
63,1101,2991,62.0,3031
75,935,1212,45.5,3032
157,580,1264,55.6,3033
125,854,590,31.3,3034
93,797,840,44.1,3036
183,806,857,42.6,3037
1069,7791,4559,28.7,3038
330,1740,954,28.1,3042
54,241,351,46.7,3043
118,862,794,36.0,3044
412,2461,2134,31.0,3045
34,514,366,38.2,3046
82,482,210,26.4,3047
232,822,525,26.3,3048
34,833,2066,63.4,3049
627,5210,4461,35.9,3051
277,1338,1802,41.5,3052
540,3894,4927,43.6,3053
499,3876,5476,46.7,3054
601,2965,2553,36.3,3055
66,402,591,48.6,3057
2015,6703,3146,22.0,3060
776,4869,5530,45.3,3062
238,2627,3556,45.0,3063
574,2520,1901,35.7,3064
80,914,1137,44.1,3070
150,1140,586,26.6,3071
407,3241,2139,35.3,3076
344,2802,1268,23.1,3077
941,6439,4792,36.2,3079
62,327,327,39.1,3082
26,277,258,39.8,3084
70,956,789,39.4,3086
179,1225,3268,57.9,3087
282,396,616,44.4,3101
1696,7104,4253,27.3,3102
2528,8229,3784,21.5,3103
1278,5552,6067,39.9,3104
321,2483,2064,38.5,3106
324,2220,1484,28.9,3109
342,1986,5745,63.4,3110
0,12,27,68.8,3215
115,376,370,41.2,3216
52,514,183,29.1,3217
58,212,60,14.7,3218
366,1815,966,27.6,3220
80,393,363,40.3,3221
212,1478,773,25.6,3222
204,666,524,40.8,3223
48,279,511,52.2,3224
161,987,366,23.6,3225
32,228,233,42.6,3226
17,156,245,52.5,3227
107,821,1010,50.8,3229
82,311,90,22.0,3230
0,90,67,41.2,3231
6,8,42,72.3,3233
176,1165,620,32.5,3234
378,2753,911,17.7,3235
41,605,487,39.6,3237
0,34,5,6.0,3238
52,339,126,27.4,3240
51,132,214,50.7,3241
77,672,738,45.2,3242
60,248,88,25.8,3243
408,1956,983,25.2,3244
52,414,240,30.9,3245
772,3895,2183,28.4,3246
111,1295,1181,41.9,3249
31,226,184,29.6,3251
200,1186,1175,43.4,3253
107,730,1037,46.2,3254
38,225,596,58.9,3255
115,471,465,40.0,3256
29,312,853,62.1,3257
90,628,370,28.4,3258
18,133,77,40.9,3259
17,123,120,41.0,3260
155,1016,701,33.7,3261
41,167,192,41.7,3262
262,1318,330,18.0,3263
143,1336,827,36.9,3264
104,567,255,24.8,3266
41,362,173,28.1,3268
59,583,465,36.7,3269
0,22,41,47.8,3273
638,2705,1297,23.3,3275
475,2080,787,19.4,3276
79,549,390,36.1,3278
36,243,70,16.0,3279
26,324,141,21.4,3280
209,1507,1414,37.0,3281
31,227,109,33.2,3282
24,292,149,34.4,3284
36,572,436,35.4,3285
25,211,344,57.9,3287
128,1022,818,40.8,3290
0,12,25,67.6,3291
0,34,24,26.2,3293
987,5811,5094,38.9,3301
707,3630,2201,29.7,3303
90,926,1731,55.4,3304
113,1476,558,19.7,3307
779,4084,3940,40.2,3431
126,631,473,31.3,3440
0,65,28,25.5,3441
69,388,224,32.9,3442
0,51,63,29.9,3443
39,230,358,55.9,3444
34,185,103,25.9,3445
176,1500,733,29.4,3446
91,661,380,27.9,3447
27,216,76,23.2,3448
16,278,380,56.8,3449
38,170,216,46.6,3450
215,1348,255,15.9,3451
108,1435,625,27.8,3452
66,646,391,34.6,3455
17,207,90,25.1,3456
14,106,141,49.8,3457
207,921,1557,51.6,3458
106,1198,721,30.4,3461
33,259,179,44.4,3462
27,299,153,25.8,3464
66,590,246,24.6,3465
45,458,255,30.0,3466
12,291,383,46.5,3467
372,1471,378,13.7,3470
230,1237,758,27.2,3561
735,3544,732,12.4,3570
72,534,446,31.5,3574
0,0,2,18.2,3575
245,759,242,16.9,3576
7,145,16,11.0,3579
12,198,333,52.7,3580
158,749,443,27.4,3581
158,847,116,8.8,3582
51,164,154,35.6,3583
109,969,273,22.0,3584
135,827,383,27.8,3585
10,73,148,58.6,3586
84,491,178,22.2,3588
81,266,30,6.0,3590
69,355,100,16.1,3592
6,44,114,56.8,3593
33,185,87,28.2,3595
25,173,19,5.6,3597
173,820,413,25.0,3598
29,136,80,29.9,3601
111,673,379,30.0,3602
373,1979,470,16.5,3603
7,23,31,42.3,3604
64,264,105,22.0,3605
9,128,68,32.6,3607
32,568,693,45.6,3608
0,94,145,38.4,3609
25,213,118,35.3,3740
263,958,474,28.4,3741
956,4029,1428,19.9,3743
45,353,241,40.0,3745
4,63,47,53.4,3746
